Number, Restaurent Name, Trip Advisor URL, Visited?, Rating
1,Pacific Rim By Kana,http://tripadvisor.com/Restaurant_Review-g29556-d416912-Reviews-Pacific_Rim_By_Kana-Ann_Arbor_Michigan.html,no,
2,Mani Osteria,http://tripadvisor.com/Restaurant_Review-g29556-d2196441-Reviews-Mani_Osteria-Ann_Arbor_Michigan.html,no,
3,Zingerman's Delicatessen,http://tripadvisor.com/Restaurant_Review-g29556-d416774-Reviews-Zingerman_s_Delicatessen-Ann_Arbor_Michigan.html,no,
4,Sava's,http://tripadvisor.com/Restaurant_Review-g29556-d673338-Reviews-Sava_s-Ann_Arbor_Michigan.html,no,
5,Jolly Pumpkin in Ann Arbor,http://tripadvisor.com/Restaurant_Review-g29556-d1819787-Reviews-Jolly_Pumpkin_in_Ann_Arbor-Ann_Arbor_Michigan.html,no,
6,Zingerman's Roadhouse,http://tripadvisor.com/Restaurant_Review-g29556-d417056-Reviews-Zingerman_s_Roadhouse-Ann_Arbor_Michigan.html,no,
7,Gandy Dancer,http://tripadvisor.com/Restaurant_Review-g29556-d416789-Reviews-Gandy_Dancer-Ann_Arbor_Michigan.html,no,
8,Metzgers German Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d416819-Reviews-Metzgers_German_Restaurant-Ann_Arbor_Michigan.html,no,
9,Tomukun,http://tripadvisor.com/Restaurant_Review-g29556-d1917083-Reviews-Tomukun-Ann_Arbor_Michigan.html,no,
10,Frita Batidos,http://tripadvisor.com/Restaurant_Review-g29556-d1989898-Reviews-Frita_Batidos-Ann_Arbor_Michigan.html,no,
11,Grizzly Peak Brewing Company,http://tripadvisor.com/Restaurant_Review-g29556-d416775-Reviews-Grizzly_Peak_Brewing_Company-Ann_Arbor_Michigan.html,no,
12,Cafe Zola,http://tripadvisor.com/Restaurant_Review-g29556-d416807-Reviews-Cafe_Zola-Ann_Arbor_Michigan.html,no,
13,The Chop House,http://tripadvisor.com/Restaurant_Review-g29556-d416793-Reviews-The_Chop_House-Ann_Arbor_Michigan.html,no,
14,Gratzi,http://tripadvisor.com/Restaurant_Review-g29556-d416769-Reviews-Gratzi-Ann_Arbor_Michigan.html,no,
15,Jerusalem Garden,http://tripadvisor.com/Restaurant_Review-g29556-d416845-Reviews-Jerusalem_Garden-Ann_Arbor_Michigan.html,no,
16,Aventura Ann Arbor,http://tripadvisor.com/Restaurant_Review-g29556-d5075197-Reviews-Aventura_Ann_Arbor-Ann_Arbor_Michigan.html,no,
17,The Lunch Room,http://tripadvisor.com/Restaurant_Review-g29556-d4982890-Reviews-The_Lunch_Room-Ann_Arbor_Michigan.html,no,
18,Isalita,http://tripadvisor.com/Restaurant_Review-g29556-d3742032-Reviews-Isalita-Ann_Arbor_Michigan.html,no,
19,Vinology,http://tripadvisor.com/Restaurant_Review-g29556-d1035778-Reviews-Vinology-Ann_Arbor_Michigan.html,no,
20,Real Seafood Co.,http://tripadvisor.com/Restaurant_Review-g29556-d416770-Reviews-Real_Seafood_Co-Ann_Arbor_Michigan.html,no,
21,Mediterrano,http://tripadvisor.com/Restaurant_Review-g29556-d416935-Reviews-Mediterrano-Ann_Arbor_Michigan.html,no,
22,Cardamom,http://tripadvisor.com/Restaurant_Review-g29556-d4309168-Reviews-Cardamom-Ann_Arbor_Michigan.html,no,
23,NeoPapalis,http://tripadvisor.com/Restaurant_Review-g29556-d3656128-Reviews-NeoPapalis-Ann_Arbor_Michigan.html,no,
24,Palm Palace Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d1478495-Reviews-Palm_Palace_Restaurant-Ann_Arbor_Michigan.html,no,
25,West End Grill,http://tripadvisor.com/Restaurant_Review-g29556-d510677-Reviews-West_End_Grill-Ann_Arbor_Michigan.html,no,
26,Afternoon Delight,http://tripadvisor.com/Restaurant_Review-g29556-d416843-Reviews-Afternoon_Delight-Ann_Arbor_Michigan.html,no,
27,Knight's Steak House,http://tripadvisor.com/Restaurant_Review-g29556-d416763-Reviews-Knight_s_Steak_House-Ann_Arbor_Michigan.html,no,
28,Logan,http://tripadvisor.com/Restaurant_Review-g29556-d802247-Reviews-Logan-Ann_Arbor_Michigan.html,no,
29,Paesano's,http://tripadvisor.com/Restaurant_Review-g29556-d3864076-Reviews-Paesano_s-Ann_Arbor_Michigan.html,no,
30,The Black Pearl Seafood and Martini Bar,http://tripadvisor.com/Restaurant_Review-g29556-d1625565-Reviews-The_Black_Pearl_Seafood_and_Martini_Bar-Ann_Arbor_Michigan.html,no,
31,Seva Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d416779-Reviews-Seva_Restaurant-Ann_Arbor_Michigan.html,no,
32,HopCat,http://tripadvisor.com/Restaurant_Review-g29556-d7716084-Reviews-HopCat-Ann_Arbor_Michigan.html,no,
33,Pizza House,http://tripadvisor.com/Restaurant_Review-g29556-d416784-Reviews-Pizza_House-Ann_Arbor_Michigan.html,no,
34,The Quarter Bistro,http://tripadvisor.com/Restaurant_Review-g29556-d1232462-Reviews-The_Quarter_Bistro-Ann_Arbor_Michigan.html,no,
35,Red Hawk Bar & Grill,http://tripadvisor.com/Restaurant_Review-g29556-d416852-Reviews-Red_Hawk_Bar_Grill-Ann_Arbor_Michigan.html,no,
36,Carlyle Grill,http://tripadvisor.com/Restaurant_Review-g29556-d1134883-Reviews-Carlyle_Grill-Ann_Arbor_Michigan.html,no,
37,Blue Tractor,http://tripadvisor.com/Restaurant_Review-g29556-d1444607-Reviews-Blue_Tractor-Ann_Arbor_Michigan.html,no,
38,Bigalora Wood Fired Cucina,http://tripadvisor.com/Restaurant_Review-g29556-d6452086-Reviews-Bigalora_Wood_Fired_Cucina-Ann_Arbor_Michigan.html,no,
39,Casey's Tavern,http://tripadvisor.com/Restaurant_Review-g29556-d793374-Reviews-Casey_s_Tavern-Ann_Arbor_Michigan.html,no,
40,Knights Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d6594502-Reviews-Knights_Restaurant-Ann_Arbor_Michigan.html,no,
41,The Earle Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d416767-Reviews-The_Earle_Restaurant-Ann_Arbor_Michigan.html,no,
42,Weber's Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d539709-Reviews-Weber_s_Restaurant-Ann_Arbor_Michigan.html,no,
43,Melange,http://tripadvisor.com/Restaurant_Review-g29556-d1312549-Reviews-Melange-Ann_Arbor_Michigan.html,no,
44,Slurping Turtle,http://tripadvisor.com/Restaurant_Review-g29556-d6627532-Reviews-Slurping_Turtle-Ann_Arbor_Michigan.html,no,
45,Angelo's Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d416850-Reviews-Angelo_s_Restaurant-Ann_Arbor_Michigan.html,no,
46,Carson's American Bistro,http://tripadvisor.com/Restaurant_Review-g29556-d1134886-Reviews-Carson_s_American_Bistro-Ann_Arbor_Michigan.html,no,
